Case_Name,IPP Lat,IPP Lon,Find Lat,Find Lot,Watershed,SubjectCategory,Eco Region,Terrain,Distance
Arizona65,34.18046667,-109.3044667,34.24506667,-109.3257667,0,Child,Dry,Flat,4.448146004
Arizona66,34.18046667,-109.3044667,34.24506667,-109.3257667,,Youth,Dry,Flat,4.448146004
Arizona67,35.0334,-111.2949833,35.58833332,-111.2394167,8,Mental Retardation,Dry,Flat,28.21027839
Arizona68,35.9,-114.4,35.91666667,-114.0833333,5,Worker,Dry,Flat,21.8663253
Arizona69,32.41666667,-110.9333333,32.37083333,-110.9758333,1,Autistic,Dry,Flat,3.426202367
Arizona70,35.09275,-112.4393,35.08423333,-112.4337167,1,Child,Dry,Flat,0.636988199
Arizona71,35.1,-113.55,35.16666667,-113.7,3,ATV,Dry,Flat,11.05327273
Arizona72,32.0695,-110.0718333,35.16243334,-111.5408833,5,Aircraft,Dry,Flat,161.5106898
Arizona73,34.40413332,-112.42975,34.3949,-112.4288833,0,Child,Dry,Flat,0.632428809
Arizona74,32.01236667,-109.3157167,31.99934998,-109.3078,0,Hiker,Dry,Flat,0.925519267
Arizona75,31.85073331,-109.4219333,31.86200002,-109.338,1,Hiker,Dry,Flat,5.837909901
Arizona76,34.88683332,-111.784,34.90266666,-111.7868333,0,Hiker,Dry,Flat,1.050052082
